"ITEM","NOMBRE","DIRECCION COMERCIAL","TELÉFONO","CASIFICACIÓN POR CONCEPTO","MESAS","SILLAS","AFORO","DOMICILIOS"
"1","Restaurante Los Almendros","C 10 3 85","3,137,325,372","Fast Food - Restaurante Familiar - Asados a La parrilla","20","4","80","SI"
"2","Delicias de la 10","C 10 4 03","3,103,495,036","Restaurante familiar - Menú ejecutivo","17","4","68","SI"
"3","Mekatos","K 4 9 02","3,137,769,890","Fast Food - Restaurante Familiar","38","4","152","SI"
"4","Restaurante Chino Fú Dú","C 9 5 49","3,116,198,601","Restaurante temático - Restaurante Familiar","16","4","64","SI"
"5","La Bufala Express","K 2 8 09","3,142,210,770","Fast Food - Hamburguesas de Bufala","6","4","24","SI"
"6","Fonda La Herradura","K 2 7 127","3,234,243,567","Restaurante Familiar - asados","20","4","80","SI"
"7","Combos del establo","C 8 6 07","3,219,618,375","Fast Food - combos - Restaurante familiar","14","4","56","SI"
"8","Palo Santo Gastro Bar","K 6 8 24","3,218,039,340","Fast Food - Restaurante familiar","19","4","76","SI"
"9","Omnivoro","K 6 8 29","3,116,170,711","Fast Food - Ensaladas","8","4","32","SI"
"10","Candi Explot","K 6 7 50","3,202,233,046","Obleas - Fresas con Kema","5","4","20","SI"
"11","Heladería Don Jugo","K 6 C 7 esquina","3,218,861,435","Jugos tropicales - Helados","6","4","24","SI"
"12","The Burguer","K 6 7 16","3,148,870,739","Fast Food","7","4","28","SI"
"13","Vikingo","K 6 7 33","3,217,647,790","Fast Food - Papa loca - Carnes","12","4","48","SI"
"14","Sandwiche Bike","K 6 7 27","3,138,915,755","Fast Food - Sandwiches","3","4","12","SI"
"15","Mangiare Pizza","K 6 6 21","3,122,438,671","Fast Food - pizzas","11","4","44","SI"
"16","Bendita empanada","K 6 6 27","3,167,866,541","Empanadas - Fast Food - Restaurante familiar","3","4","12","SI"
"17","Gastrobar Bonprex","K 6 6 43","3,137,670,997","Restaurante familiar - Menú ejecutivo - Cocteles","8","4","32","SI"
"18","Super pollo Broaster","K 6 6 49","3,117,645,409","Restaurante familiar - Arroz paisa","8","4","32","SI"
"19","Don Burguer","K 6 6 57","3,505,812,260","Fast Food - Tacos - Hamburguesas","17","4","68","SI"
"20","Restaurante Cub de Ajedrez","C 13 K 5","3,108,983,874","Restaurante familiar - Comida corriente","17","4","68","SI"
"21","Asadero de Pollo Los Arrayanes","K 5 13 43","6,068,572,185","Restaurante familiar - Pollo asado al carbón","12","4","48","SI"
"22","Pollos KT","K 5 13 47","3,125,121,357","Restaurante familiar - Pollo asado al carbón","8","4","32","SI"
"23","Asadero donde Otto","K 5 13 51","3,104,010,178","Restaurante familiar - Pollo asado al carbón","13","4","52","SI"
"24","Bar y restaurante La Patrona","C 14 5 19","3,104,369,909","Restaurante tipo Buffet - Platos a la carta","27","4","108","SI"
"25","Coffee Time Bar","C 14 5 40","3,144,656,546","Restaurante Familiar - menú ejecutivo","6","4","24","SI"
"26","Cafetería Punto sabroso","Centro comercial","3,125,632,188","Take away - jugos - bebidas calientes - Sandwiches","1","4","4","SI"
"27","Cafetería Ani expres","Centro comercial","3,122,978,736","Take away - jugos - bebidas calientes - Sandwiches","1","4","4","SI"
"28","Cafetería Doña Ligia","Centro comercial","3,114,988,395","Take away - jugos - bebidas calientes - Sandwiches","1","4","4","SI"
